tp,time.s,gas,v2.mV,v3.mV
4835,1012.18701171875,H2,811.4438372150672,236.78832729033462
4836,1012.39599609375,H2,865.8675189552854,249.93039425457007
4837,1012.60498046875,H2,921.1154588377077,263.02625458482987
4838,1012.8140258789062,H2,976.9879743238656,275.40881726087673
4839,1013.0230102539062,H2,1033.3737655769032,287.2814960254675
4840,1013.2319946289062,H2,1089.881962586526,298.68091290897235
4841,1013.4409790039062,H2,1145.9665237492181,309.5891978487241
4842,1013.6500244140625,H2,1201.0240469879288,319.42675402134034
4843,1013.8590087890625,H2,1253.8356514410152,328.0260849668217
4844,1014.0679931640625,H2,1302.811260299054,335.0014297969688
4845,1014.2769775390625,H2,1346.123331718611,340.1991696182455
4846,1014.4860229492188,H2,1381.2047338090533,343.1132564665691
4847,1014.6950073242188,H2,1405.339528070858,343.82151029748286
4848,1014.9039916992188,H2,1415.6905449371989,341.87924991705154
4849,1015.1129760742188,H2,1409.8380975991151,336.7343046761767
4850,1015.322021484375,H2,1386.1591391943489,328.23138982662925
4851,1015.531005859375,H2,1343.991106127695,316.36737961798013
4852,1015.739990234375,H2,1283.779763040045,301.13541047109237
4853,1015.948974609375,H2,1207.4887279995728,282.9307740429363
4854,1016.1580200195312,H2,1118.2495060381589,262.34629115430386
4855,1016.3670043945312,H2,1020.1394637359955,240.09332896171532
4856,1016.5759887695312,H2,917.4043716889091,217.08922802293162
4857,1016.7849731445312,H2,814.4795862321495,194.81509721692714
4858,1016.9940185546875,H2,715.1380747712736,173.48829760461237
4859,1017.2030029296875,H2,622.536140420453,153.10994748423957
4860,1017.4119873046875,H2,538.7904074689935,134.6145777309883
4861,1017.6209716796875,H2,465.18655507044673,118.27854473342991
4862,1017.8300170898438,H2,402.16748956288006,104.11811152773697
4863,1018.0390014648438,H2,349.3253058905619,92.2364142967681
4864,1018.2479858398438,H2,305.86436697471567,82.31293554339037
4865,1018.4569702148438,H2,270.8986475663059,74.01121324230519
4866,1018.666015625,H2,243.09148938604153,67.73329977462272
4867,1018.875,H2,221.24826957619393,62.47044646806699
4868,1019.083984375,H2,204.28042281620617,58.32519605748987
4869,1019.2930297851562,H2,191.1344137273594,54.811993090588814
4870,1019.5020141601562,H2,181.03918286736086,52.270838574903
4871,1019.7109985351562,H2,173.2735207055449,50.35012750969192
4872,1019.9199829101562,H2,167.31746007534966,48.661665948464886
